[epoch: 1, batch: 8] train_loss: 1706.701,  Leraning Rate: 0.000300
[epoch: 2, batch: 8] train_loss: 888.586,  Leraning Rate: 0.000300
[epoch: 3, batch: 8] train_loss: 801.725,  Leraning Rate: 0.000300
[epoch: 4, batch: 8] train_loss: 750.494,  Leraning Rate: 0.000300
[epoch: 5, batch: 8] train_loss: 744.028,  Leraning Rate: 0.000300
[epoch: 6, batch: 8] train_loss: 640.822,  Leraning Rate: 0.000300
[epoch: 7, batch: 8] train_loss: 622.982,  Leraning Rate: 0.000300
[epoch: 8, batch: 8] train_loss: 633.867,  Leraning Rate: 0.000300
[epoch: 9, batch: 8] train_loss: 579.904,  Leraning Rate: 0.000300
[epoch: 10, batch: 8] train_loss: 561.565,  Leraning Rate: 0.000300
[epoch: 11, batch: 8] train_loss: 567.824,  Leraning Rate: 0.000300
[epoch: 12, batch: 8] train_loss: 498.277,  Leraning Rate: 0.000300
[epoch: 13, batch: 8] train_loss: 499.754,  Leraning Rate: 0.000300
[epoch: 14, batch: 8] train_loss: 484.803,  Leraning Rate: 0.000300
[epoch: 15, batch: 8] train_loss: 476.468,  Leraning Rate: 0.000300
[epoch: 16, batch: 8] train_loss: 488.144,  Leraning Rate: 0.000300
[epoch: 17, batch: 8] train_loss: 462.858,  Leraning Rate: 0.000300
[epoch: 18, batch: 8] train_loss: 450.082,  Leraning Rate: 0.000300
[epoch: 19, batch: 8] train_loss: 450.753,  Leraning Rate: 0.000300
[epoch: 20, batch: 8] train_loss: 411.030,  Leraning Rate: 0.000300
[epoch: 21, batch: 8] train_loss: 411.377,  Leraning Rate: 0.000300
[epoch: 22, batch: 8] train_loss: 391.328,  Leraning Rate: 0.000300
[epoch: 23, batch: 8] train_loss: 390.399,  Leraning Rate: 0.000300
[epoch: 24, batch: 8] train_loss: 389.390,  Leraning Rate: 0.000300
[epoch: 25, batch: 8] train_loss: 360.073,  Leraning Rate: 0.000300
[epoch: 26, batch: 8] train_loss: 350.364,  Leraning Rate: 0.000300
[epoch: 27, batch: 8] train_loss: 349.658,  Leraning Rate: 0.000300
[epoch: 28, batch: 8] train_loss: 335.173,  Leraning Rate: 0.000300
[epoch: 29, batch: 8] train_loss: 315.003,  Leraning Rate: 0.000300
[epoch: 30, batch: 8] train_loss: 331.349,  Leraning Rate: 0.000195
[epoch: 31, batch: 8] train_loss: 300.032,  Leraning Rate: 0.000195
[epoch: 32, batch: 8] train_loss: 273.868,  Leraning Rate: 0.000195
[epoch: 33, batch: 8] train_loss: 262.967,  Leraning Rate: 0.000195
[epoch: 34, batch: 8] train_loss: 247.882,  Leraning Rate: 0.000195
[epoch: 35, batch: 8] train_loss: 244.954,  Leraning Rate: 0.000195
[epoch: 36, batch: 8] train_loss: 237.059,  Leraning Rate: 0.000195
[epoch: 37, batch: 8] train_loss: 232.876,  Leraning Rate: 0.000195
[epoch: 38, batch: 8] train_loss: 224.820,  Leraning Rate: 0.000195
[epoch: 39, batch: 8] train_loss: 218.937,  Leraning Rate: 0.000195
[epoch: 40, batch: 8] train_loss: 207.243,  Leraning Rate: 0.000195
[epoch: 41, batch: 8] train_loss: 212.607,  Leraning Rate: 0.000195
[epoch: 42, batch: 8] train_loss: 204.830,  Leraning Rate: 0.000195
[epoch: 43, batch: 8] train_loss: 178.975,  Leraning Rate: 0.000195
[epoch: 44, batch: 8] train_loss: 191.305,  Leraning Rate: 0.000195
[epoch: 45, batch: 8] train_loss: 185.841,  Leraning Rate: 0.000195
[epoch: 46, batch: 8] train_loss: 166.871,  Leraning Rate: 0.000195
[epoch: 47, batch: 8] train_loss: 159.251,  Leraning Rate: 0.000195
[epoch: 48, batch: 8] train_loss: 152.082,  Leraning Rate: 0.000195
[epoch: 49, batch: 8] train_loss: 151.415,  Leraning Rate: 0.000195
[epoch: 50, batch: 8] train_loss: 139.616,  Leraning Rate: 0.000195
[epoch: 51, batch: 8] train_loss: 143.163,  Leraning Rate: 0.000195
[epoch: 52, batch: 8] train_loss: 144.319,  Leraning Rate: 0.000195
[epoch: 53, batch: 8] train_loss: 124.361,  Leraning Rate: 0.000195
[epoch: 54, batch: 8] train_loss: 130.303,  Leraning Rate: 0.000195
[epoch: 55, batch: 8] train_loss: 125.608,  Leraning Rate: 0.000195
[epoch: 56, batch: 8] train_loss: 109.517,  Leraning Rate: 0.000195
[epoch: 57, batch: 8] train_loss: 117.520,  Leraning Rate: 0.000195
[epoch: 58, batch: 8] train_loss: 107.088,  Leraning Rate: 0.000195
[epoch: 59, batch: 8] train_loss: 113.091,  Leraning Rate: 0.000195
[epoch: 60, batch: 8] train_loss: 102.004,  Leraning Rate: 0.000127
[epoch: 61, batch: 8] train_loss: 76.253,  Leraning Rate: 0.000127
[epoch: 62, batch: 8] train_loss: 65.684,  Leraning Rate: 0.000127
[epoch: 63, batch: 8] train_loss: 64.152,  Leraning Rate: 0.000127
[epoch: 64, batch: 8] train_loss: 61.127,  Leraning Rate: 0.000127
[epoch: 65, batch: 8] train_loss: 56.897,  Leraning Rate: 0.000127
[epoch: 66, batch: 8] train_loss: 59.973,  Leraning Rate: 0.000127
[epoch: 67, batch: 8] train_loss: 57.926,  Leraning Rate: 0.000127
[epoch: 68, batch: 8] train_loss: 58.127,  Leraning Rate: 0.000127
[epoch: 69, batch: 8] train_loss: 57.132,  Leraning Rate: 0.000127
[epoch: 70, batch: 8] train_loss: 46.371,  Leraning Rate: 0.000127
[epoch: 71, batch: 8] train_loss: 47.383,  Leraning Rate: 0.000127
[epoch: 72, batch: 8] train_loss: 48.523,  Leraning Rate: 0.000127
[epoch: 73, batch: 8] train_loss: 47.664,  Leraning Rate: 0.000127
[epoch: 74, batch: 8] train_loss: 48.268,  Leraning Rate: 0.000127
[epoch: 75, batch: 8] train_loss: 39.947,  Leraning Rate: 0.000127
[epoch: 76, batch: 8] train_loss: 39.949,  Leraning Rate: 0.000127
[epoch: 77, batch: 8] train_loss: 37.672,  Leraning Rate: 0.000127
[epoch: 78, batch: 8] train_loss: 36.764,  Leraning Rate: 0.000127
[epoch: 79, batch: 8] train_loss: 36.762,  Leraning Rate: 0.000127
[epoch: 80, batch: 8] train_loss: 29.945,  Leraning Rate: 0.000127
[epoch: 81, batch: 8] train_loss: 30.582,  Leraning Rate: 0.000127
[epoch: 82, batch: 8] train_loss: 30.017,  Leraning Rate: 0.000127
[epoch: 83, batch: 8] train_loss: 31.642,  Leraning Rate: 0.000127
[epoch: 84, batch: 8] train_loss: 34.401,  Leraning Rate: 0.000127
[epoch: 85, batch: 8] train_loss: 30.761,  Leraning Rate: 0.000127
[epoch: 86, batch: 8] train_loss: 27.301,  Leraning Rate: 0.000127
[epoch: 87, batch: 8] train_loss: 34.257,  Leraning Rate: 0.000127
[epoch: 88, batch: 8] train_loss: 25.857,  Leraning Rate: 0.000127
[epoch: 89, batch: 8] train_loss: 27.360,  Leraning Rate: 0.000127
[epoch: 90, batch: 8] train_loss: 23.345,  Leraning Rate: 0.000082
[epoch: 91, batch: 8] train_loss: 17.262,  Leraning Rate: 0.000082
[epoch: 92, batch: 8] train_loss: 11.331,  Leraning Rate: 0.000082
[epoch: 93, batch: 8] train_loss: 9.180,  Leraning Rate: 0.000082
[epoch: 94, batch: 8] train_loss: 9.184,  Leraning Rate: 0.000082
[epoch: 95, batch: 8] train_loss: 10.964,  Leraning Rate: 0.000082
[epoch: 96, batch: 8] train_loss: 11.630,  Leraning Rate: 0.000082
[epoch: 97, batch: 8] train_loss: 14.197,  Leraning Rate: 0.000082
[epoch: 98, batch: 8] train_loss: 13.491,  Leraning Rate: 0.000082
[epoch: 99, batch: 8] train_loss: 11.645,  Leraning Rate: 0.000082
[epoch: 100, batch: 8] train_loss: 11.975,  Leraning Rate: 0.000082
[epoch: 101, batch: 8] train_loss: 9.867,  Leraning Rate: 0.000082
[epoch: 102, batch: 8] train_loss: 10.196,  Leraning Rate: 0.000082
[epoch: 103, batch: 8] train_loss: 12.283,  Leraning Rate: 0.000082
[epoch: 104, batch: 8] train_loss: 10.513,  Leraning Rate: 0.000082
[epoch: 105, batch: 8] train_loss: 9.242,  Leraning Rate: 0.000082
[epoch: 106, batch: 8] train_loss: 9.270,  Leraning Rate: 0.000082
[epoch: 107, batch: 8] train_loss: 10.989,  Leraning Rate: 0.000082
[epoch: 108, batch: 8] train_loss: 12.908,  Leraning Rate: 0.000082
[epoch: 109, batch: 8] train_loss: 11.733,  Leraning Rate: 0.000082
[epoch: 110, batch: 8] train_loss: 12.056,  Leraning Rate: 0.000082
[epoch: 111, batch: 8] train_loss: 9.061,  Leraning Rate: 0.000082
[epoch: 112, batch: 8] train_loss: 10.179,  Leraning Rate: 0.000082
[epoch: 113, batch: 8] train_loss: 8.950,  Leraning Rate: 0.000082
[epoch: 114, batch: 8] train_loss: 9.395,  Leraning Rate: 0.000082
[epoch: 115, batch: 8] train_loss: 8.573,  Leraning Rate: 0.000082
[epoch: 116, batch: 8] train_loss: 7.927,  Leraning Rate: 0.000082
[epoch: 117, batch: 8] train_loss: 7.801,  Leraning Rate: 0.000082
[epoch: 118, batch: 8] train_loss: 9.272,  Leraning Rate: 0.000082
[epoch: 119, batch: 8] train_loss: 11.046,  Leraning Rate: 0.000082
[epoch: 120, batch: 8] train_loss: 10.058,  Leraning Rate: 0.000054
[epoch: 121, batch: 8] train_loss: 5.442,  Leraning Rate: 0.000054
[epoch: 122, batch: 8] train_loss: 3.161,  Leraning Rate: 0.000054
[epoch: 123, batch: 8] train_loss: 2.444,  Leraning Rate: 0.000054
[epoch: 124, batch: 8] train_loss: 3.225,  Leraning Rate: 0.000054
[epoch: 125, batch: 8] train_loss: 3.267,  Leraning Rate: 0.000054
[epoch: 126, batch: 8] train_loss: 3.383,  Leraning Rate: 0.000054
[epoch: 127, batch: 8] train_loss: 4.043,  Leraning Rate: 0.000054
[epoch: 128, batch: 8] train_loss: 4.684,  Leraning Rate: 0.000054
[epoch: 129, batch: 8] train_loss: 4.623,  Leraning Rate: 0.000054
[epoch: 130, batch: 8] train_loss: 4.361,  Leraning Rate: 0.000054
[epoch: 131, batch: 8] train_loss: 4.458,  Leraning Rate: 0.000054
[epoch: 132, batch: 8] train_loss: 4.357,  Leraning Rate: 0.000054
[epoch: 133, batch: 8] train_loss: 4.648,  Leraning Rate: 0.000054
[epoch: 134, batch: 8] train_loss: 4.050,  Leraning Rate: 0.000054
[epoch: 135, batch: 8] train_loss: 3.540,  Leraning Rate: 0.000054
[epoch: 136, batch: 8] train_loss: 3.638,  Leraning Rate: 0.000054
[epoch: 137, batch: 8] train_loss: 4.149,  Leraning Rate: 0.000054
[epoch: 138, batch: 8] train_loss: 4.324,  Leraning Rate: 0.000054
[epoch: 139, batch: 8] train_loss: 4.273,  Leraning Rate: 0.000054
[epoch: 140, batch: 8] train_loss: 4.122,  Leraning Rate: 0.000054
[epoch: 141, batch: 8] train_loss: 4.222,  Leraning Rate: 0.000054
[epoch: 142, batch: 8] train_loss: 4.700,  Leraning Rate: 0.000054
[epoch: 143, batch: 8] train_loss: 3.760,  Leraning Rate: 0.000054
[epoch: 144, batch: 8] train_loss: 3.608,  Leraning Rate: 0.000054
[epoch: 145, batch: 8] train_loss: 3.406,  Leraning Rate: 0.000054
[epoch: 146, batch: 8] train_loss: 3.710,  Leraning Rate: 0.000054
[epoch: 147, batch: 8] train_loss: 3.630,  Leraning Rate: 0.000054
[epoch: 148, batch: 8] train_loss: 3.644,  Leraning Rate: 0.000054
[epoch: 149, batch: 8] train_loss: 4.057,  Leraning Rate: 0.000054
[epoch: 150, batch: 8] train_loss: 4.244,  Leraning Rate: 0.000035
[epoch: 151, batch: 8] train_loss: 3.208,  Leraning Rate: 0.000035
[epoch: 152, batch: 8] train_loss: 1.586,  Leraning Rate: 0.000035
[epoch: 153, batch: 8] train_loss: 1.354,  Leraning Rate: 0.000035
